year,ccode,country,regime,duration,collapse,hypart,democracy2,party2,sftgcode,coup,coup.1,predyr,postcw,pastcoup,infantmort,slowgrowth,civconc,regdur,regfail,party,anocracy,xconst,gdp,constraint,constraint2,party2,rev_party,xconst3,,
1960,490,NA,NA,NA,NA,NA,0,NA,ZAI,1,0,1961,0,1,0.584868113,NA,1,NA,NA,NA,0,NA,3086746936,NA,NA,NA,NA,NA,,
1963,352,NA,NA,NA,NA,NA,0,NA,CYP,0,0,1964,0,0,-1.216306503,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
1964,352,NA,NA,NA,NA,NA,0,NA,CYP,0,0,1965,0,0,-1.296603873,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
1965,352,NA,NA,NA,NA,NA,0,NA,CYP,0,0,1966,0,0,-1.423126169,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
1966,352,NA,NA,NA,NA,NA,0,NA,CYP,0,0,1967,0,0,-1.483023986,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
1967,352,NA,NA,NA,NA,NA,0,NA,CYP,0,0,1968,0,0,-1.494843809,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
1992,346,NA,NA,NA,NA,NA,0,NA,BOS,0,0,1993,1,0,-0.626252946,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
1995,581,NA,NA,NA,NA,NA,0,NA,COM,1,0,1996,1,1,0.922053543,0,0,NA,NA,NA,0,NA,230495756.5,NA,NA,NA,NA,NA, ,
2000,940,NA,NA,NA,NA,NA,0,NA,SOL,0,0,2001,1,0,-0.227185217,1,1,NA,NA,NA,0,NA,400464593,NA,NA,NA,NA,NA,,
2000,950,NA,NA,NA,NA,NA,0,NA,FJI,1,0,2001,1,1,-0.788457359,1,0,NA,NA,NA,0,NA,1660102346,NA,NA,NA,NA,NA,,
2001,940,NA,NA,NA,NA,NA,0,NA,SOL,0,0,2002,1,0,-0.209274154,1,1,NA,NA,NA,0,NA,341663053.7,NA,NA,NA,NA,NA,,
2002,940,NA,NA,NA,NA,NA,0,NA,SOL,0,0,2003,1,0,-0.2042235,1,1,NA,NA,NA,0,NA,332736306.5,NA,NA,NA,NA,NA,, 
2003,940,NA,NA,NA,NA,NA,0,NA,SOL,0,0,2004,1,0,-0.197140864,0,1,NA,NA,NA,0,NA,375109694.5,NA,NA,NA,NA,NA,,
